"Rider","Pro_year","Points_as_neopro","heuristic"
"lapthorne darren",2007,85,0
"larsen niklas",2020,13,1.075
"lasca francesco",2012,474,0.166666666666667
"laton eryk",2015,42,0
"latour pierre",2015,959,0.905357142857143
"lauscha georg",2008,0,0
"lawless chris",2018,563,0.45
"le bon johan",2011,98,0.5
"le floch guillaume",2009,76,0.25
"le gac olivier",2015,73,0.427777777777778
"le turnier mathias",2017,117,0.333333333333333
"lechuga pablo",2010,23,0.333333333333333
"lecroq jérémy",2018,90,0.744444444444444
"lecuisinier pierre-henri",2014,52,0.832010582010582
"ledanois kévin",2015,201,0.166666666666667
"leemreize gijs",2021,NA,1
"leezer tom",2008,482,0.866666666666667
"lemarchand romain",2011,49,0
"levarlet guillaume",2008,298,1
"lewis craig",2007,86,0
"leysen senne",2018,44,0.503472222222222
"lhotellerie clement",2007,408,0.666666666666667
"lietaer eliot",2012,113,0.1
"ligthart pim",2011,661,0.6
"linda antonin",2009,0,0.111111111111111
"lindeman bert-jan",2012,221,0.358333333333333
"lindgren johan",2007,11,0
"lisson christoffer",2020,NA,0
"lloyd matthew",2007,427,0.666666666666667
"lobato juan josé",2011,210,1
"locatelli paolo",2011,12,0.922222222222222
"locatelli stefano",2012,206,1.41666666666667
"lodewyck klaas",2009,277,0.473809523809524
"lombardi omar",2011,76,0.725
"lonardi giovanni",2019,232,0.483333333333333
"longo roberto",2007,40,0
"looij andré",2015,204,0
"lópez daniel",2018,120,0
"lópez jordi",2021,NA,0
"lópez miguel ángel",2015,950,0.25
"lowndes jason",2016,88,0
"lucciola fabrizio",2010,0,0.333333333333333
"ludvigsson fredrik",2015,42,0.825
"ludvigsson tobias",2012,367,0.352380952380952
"lund anders",2007,154,0.325396825396825
"lunke sindre",2016,96,0.791666666666667
